x,y1,y2,y3
-0.226,-0.202416491,-6.06E-01,-5.57E-01
-0.224,-0.22002552,-6.09E-01,-5.60E-01
-0.222,-0.237536138,-6.12E-01,-5.62E-01
-0.22,-0.254939349,-6.14E-01,-5.65E-01
-0.218,-0.272226239,-6.17E-01,-5.67E-01
-0.216,-0.289387984,-6.20E-01,-5.70E-01
-0.214,-0.306415852,-6.22E-01,-5.72E-01
-0.212,-0.323301208,-6.25E-01,-5.75E-01
-0.21,-0.340035525,-6.27E-01,-5.78E-01
-0.208,-0.356610383,-6.30E-01,-5.80E-01
-0.206,-0.373017479,-6.32E-01,-5.83E-01
-0.204,-0.389248628,-6.34E-01,-5.85E-01
-0.202,-0.405295774,-6.36E-01,-5.88E-01
-0.2,-0.421150989,-6.38E-01,-5.90E-01
-0.198,-0.43680648,-6.40E-01,-5.93E-01
-0.196,-0.452254596,-6.41E-01,-5.95E-01
-0.194,-0.467487831,-6.43E-01,-5.98E-01
-0.192,-0.482498829,-6.44E-01,-6.00E-01
-0.19,-0.497280389,-6.46E-01,-6.03E-01
-0.188,-0.511825467,-6.47E-01,-6.05E-01
-0.186,-0.526127185,-6.48E-01,-6.07E-01
-0.184,-0.540178832,-6.49E-01,-6.09E-01
-0.182,-0.553973869,-6.49E-01,-6.12E-01
-0.18,-0.567505935,-6.50E-01,-6.14E-01
-0.178,-0.580768846,-6.50E-01,-6.16E-01
-0.176,-0.593756605,-6.51E-01,-6.17E-01
-0.174,-0.606463401,-6.51E-01,-6.19E-01
-0.172,-0.618883616,-6.51E-01,-6.21E-01
-0.17,-0.631011827,-6.51E-01,-6.23E-01
-0.168,-0.642842808,-6.50E-01,-6.24E-01
-0.166,-0.654371537,-6.50E-01,-6.25E-01
-0.164,-0.665593195,-6.49E-01,-6.27E-01
-0.162,-0.676503173,-6.48E-01,-6.28E-01
-0.16,-0.68709707,-6.47E-01,-6.29E-01
-0.158,-0.697370701,-6.46E-01,-6.30E-01
-0.156,-0.707320097,-6.45E-01,-6.30E-01
-0.154,-0.716941507,-6.43E-01,-6.31E-01
-0.152,-0.726231401,-6.41E-01,-6.31E-01
-0.15,-0.735186474,-6.39E-01,-6.32E-01
-0.148,-0.743803643,-6.37E-01,-6.32E-01
-0.146,-0.752080056,-6.35E-01,-6.32E-01
-0.144,-0.760013088,-6.33E-01,-6.31E-01
-0.142,-0.767600345,-6.30E-01,-6.31E-01
-0.14,-0.774839666,-6.27E-01,-6.30E-01
-0.138,-0.781729121,-6.24E-01,-6.29E-01
-0.136,-0.788267019,-6.21E-01,-6.28E-01
-0.134,-0.794451901,-6.17E-01,-6.27E-01
-0.132,-0.800282546,-6.14E-01,-6.25E-01
-0.13,-0.805757971,-6.10E-01,-6.24E-01
-0.128,-0.81087743,-6.06E-01,-6.22E-01
-0.126,-0.815640416,-6.01E-01,-6.19E-01
-0.124,-0.820046662,-5.97E-01,-6.17E-01
-0.122,-0.824096137,-5.92E-01,-6.14E-01
-0.12,-0.827789052,-5.87E-01,-6.12E-01
-0.118,-0.831125854,-5.82E-01,-6.08E-01
-0.116,-0.834107231,-5.77E-01,-6.05E-01
-0.114,-0.836734106,-5.72E-01,-6.01E-01
-0.112,-0.839007643,-5.66E-01,-5.97E-01
-0.11,-0.840929239,-5.60E-01,-5.93E-01
-0.108,-0.842500528,-5.54E-01,-5.89E-01
-0.106,-0.843723381,-5.48E-01,-5.84E-01
-0.104,-0.844599899,-5.42E-01,-5.79E-01
-0.102,-0.845132417,-5.35E-01,-5.74E-01
-0.1,-0.845323498,-5.28E-01,-5.69E-01
-0.098,-0.845175938,-5.21E-01,-5.63E-01
-0.096,-0.844692758,-5.14E-01,-5.57E-01
-0.094,-0.843877202,-5.07E-01,-5.50E-01
-0.092,-0.842732741,-4.99E-01,-5.44E-01
-0.09,-0.841263063,-4.91E-01,-5.37E-01
-0.088,-0.839472079,-4.83E-01,-5.30E-01
-0.086,-0.837363911,-4.75E-01,-5.23E-01
-0.084,-0.834942898,-4.67E-01,-5.15E-01
-0.082,-0.832213588,-4.58E-01,-5.07E-01
-0.08,-0.829180737,-4.50E-01,-4.99E-01
-0.078,-0.825849305,-4.41E-01,-4.90E-01
-0.076,-0.822224454,-4.32E-01,-4.82E-01
-0.074,-0.818311545,-4.23E-01,-4.73E-01
